time,foot
0.4345759,Right,
1.017678,Left,
1.617978,Right,
2.23511,Left,
2.866886,Right,
3.568204,Left,
4.116886,Right,
4.737209,Left,
5.267045,Right,
5.863717,Left,
6.34438,Right,
6.866281,Left,
7.403412,Right,
7.981472,Left,
8.454394,Right,
9.073987,Left,
9.565475,Right,
10.22401,Left,
10.7072,Right,
11.33343,Left,
11.7951,Right,
12.41454,Left,
12.88661,Right,
13.49229,Left,
13.94844,Right,
14.60645,Left,
15.08315,Right,
15.70121,Left,
16.11873,Right,
16.75418,Left,
17.22972,Right,
17.84558,Left,
18.29101,Right,
18.94789,Left,
19.37785,Right,
19.96345,Left,
20.45897,Right,
21.07584,Left,
21.5429,Right,
22.19772,Left,
22.67425,Right,
23.33097,Left,
23.82651,Right,
24.90872,Right,
25.98953,Right,
27.07139,Right,
27.66976,Left,
28.16192,Right,
28.72383,Left,
29.22531,Right,
29.73928,Left,
30.29032,Right,
30.84069,Left,
31.32393,Right,
31.91228,Left,
32.46604,Right,
32.9891,Left,
33.53232,Right,
34.13149,Left,
34.67193,Right,
35.26912,Left,
35.79001,Right,
36.35426,Left,
36.91795,Right,
37.48259,Left,
38.04124,Right,
38.57617,Left,
39.11117,Right,
39.62781,Left,
40.14029,Right,
40.73392,Left,
41.29325,Right,
41.855,Left,
42.38778,Right,
42.97315,Left,
43.4532,Right,
44.07864,Left,
44.60327,Right,
45.18009,Left,
45.68293,Right,
46.28544,Left,
46.78409,Right,
47.34483,Left,
47.85874,Right,
48.45215,Left,
48.96771,Right,
49.51949,Left,
50.03697,Right,
50.59498,Left,
51.12866,Right,
51.66553,Left,
52.19155,Right,
52.76992,Left,
53.31273,Right,
53.8603,Left,
54.36848,Right,
54.92155,Left,
55.45227,Right,
55.98689,Left,
56.56569,Right,
57.14672,Left,
57.66659,Right,
58.26752,Left,
58.77429,Right,
59.32729,Left,
59.83551,Right,
60.39542,Left,
60.95502,Right,
61.52171,Left,
62.0789,Right,
62.66749,Left,
63.17216,Right,
63.74556,Left,
64.25564,Right,

time,foot
0.4295137,Right,
0.8447289,Left,
1.273558,Right,
1.727608,Left,
2.238714,Right,
2.732702,Left,
3.228903,Right,
3.698364,Left,
4.205948,Right,
4.708829,Left,
5.16445,Right,
5.714609,Left,
6.217568,Right,
6.766663,Left,
7.301692,Right,
7.865209,Left,
8.391348,Right,
8.917919,Left,
9.447881,Right,
10.02306,Left,
10.50528,Right,
11.09221,Left,
11.60364,Right,
12.1634,Left,
12.62853,Right,
13.10734,Left,
13.52246,Right,
14.05535,Left,
14.5906,Right,
15.15146,Left,
15.63588,Right,
16.14842,Left,
16.65543,Right,
17.16188,Left,
17.61032,Right,
18.1697,Left,
18.6233,Right,
19.15835,Left,
19.63031,Right,
20.13644,Left,
20.68336,Right,
21.16054,Left,
21.70803,Right,
22.20387,Left,
22.75068,Right,
23.23847,Left,
23.76288,Right,
24.25662,Left,
24.7526,Right,
25.24625,Left,
25.747,Right,
26.25927,Left,
27.45599,Right,
30.35784,Left,
30.7769,Right,
31.29147,Left,
31.60683,Right,
33.29453,Right,
33.74399,Left,
34.15839,Right,
34.76222,Left,
35.17161,Right,
35.76259,Left,
36.32101,Right,
36.9079,Left,
37.38721,Right,
38.02574,Left,
38.49002,Right,
39.15186,Left,
39.63023,Right,
40.22268,Left,
40.70163,Right,
41.26038,Left,
41.66882,Right,
42.29102,Left,
42.77765,Right,
43.45312,Left,
43.88383,Right,
44.51653,Left,
44.9371,Right,
45.67665,Left,
46.06543,Right,
46.78316,Left,
47.15157,Right,
47.86044,Left,
48.31837,Right,
48.95899,Left,
49.3337,Right,
49.93249,Left,
50.35695,Right,
51.01344,Left,
51.39707,Right,
52.09268,Left,
52.52644,Right,
53.25777,Left,
53.62426,Right,
54.27452,Left,
54.64345,Right,
55.20316,Left,
55.58244,Right,
56.38675,Right,
57.12439,Right,
57.78386,Right,
58.5091,Right,
59.19302,Right,
59.8668,Right,
60.51005,Right,
60.91788,Left,
61.18909,Right,
61.71496,Left,
62.12386,Right,
62.45449,Left,
62.77366,Right,
63.10508,Left,

time,foot
1.932862,Left,
2.899001,Left,
3.202441,Right,
4.133146,Right,
4.499759,Left,
5.517097,Right,
6.332851,Right,
8.282045,Right,
9.381907,Right,
10.69812,Left,
11.48659,Right,
12.38756,Left,
13.35261,Right,
13.95108,Left,
14.67809,Right,
15.16395,Left,
15.72009,Right,
16.24313,Left,
16.7638,Right,
17.20536,Left,
17.65818,Right,
18.11483,Left,
18.60907,Right,
19.11552,Left,
19.6655,Right,
20.17415,Left,
20.70208,Right,
21.20662,Left,
21.67905,Right,
22.18985,Left,
22.7051,Right,
23.19419,Left,
23.67453,Right,
24.16373,Left,
24.66414,Right,
25.16728,Left,
25.64184,Right,
25.96877,Left,
26.22743,Right,
26.48899,Left,
26.67237,Right,
26.88452,Left,
27.05787,Right,
27.23975,Left,
27.34925,Right,
27.52894,Left,
27.67653,Right,
27.82188,Left,
28.00413,Right,
28.1494,Left,
28.29452,Right,
28.40978,Left,
28.48338,Right,
28.59773,Left,
28.74891,Right,
28.82481,Left,
28.97511,Left,
29.09203,Right,
29.17397,Left,
29.29638,Right,
29.37784,Left,
29.46111,Right,
29.58356,Left,
29.66385,Right,
29.74277,Left,
29.89989,Right,
30.01491,Left,
30.09204,Right,
30.20579,Left,
30.31958,Right,
30.43408,Left,
30.54879,Right,
30.78198,Right,
30.9035,Left,
31.02333,Right,
31.21854,Left,
31.3694,Right,
31.48172,Left,
31.59629,Right,
31.75168,Left,
31.908,Right,
32.02658,Left,
32.17842,Right,
32.32848,Left,
32.47134,Right,
32.60993,Left,
32.77826,Right,
32.91336,Left,
33.11022,Right,
33.20998,Left,
33.38668,Right,
33.54035,Left,
33.65628,Right,
33.84738,Left,
33.9978,Right,
34.14476,Left,
34.29762,Right,
34.41266,Left,
34.60363,Right,
34.71876,Left,
34.90827,Right,
35.0238,Left,
35.17986,Right,
35.29896,Left,
35.45815,Right,
35.61286,Left,
35.73206,Right,
35.93507,Left,
36.17545,Right,
36.45481,Left,
36.73634,Right,
37.02103,Left,
37.31689,Right,
37.6469,Left,
37.97664,Right,
38.2256,Left,
38.48157,Right,
38.73921,Left,
39.03623,Right,
39.36024,Left,
39.66753,Right,
39.98439,Left,
40.26328,Right,
40.50368,Left,
40.66172,Right,
40.81057,Left,
40.88538,Right,
41.07569,Left,
41.26105,Right,
41.50532,Left,
41.92603,Right,

time,foot
0.1711152,Left,
